S_SRN,D_NAME,C_ID,S_FNAME,S_LNAME,S_EMAIL,S_SDATE,S_DEPT,S_PHNO,S_SEM,S_ROLE,S_PASSWORD
PES1UG21CS300,Logistics,PESURRC001,Arya ,Malhotra,arya@gmail.com,2023-05-05',CS,9876543210,5,Head,PES1UG21CS300
PES1UG21CS301,Technical,PESURRC006,Bhuvan,Singh,bhuvan@gmail.com,2023-05-05',CS,2345678901,3,Club Head,PES1UG21CS301
PES1UG21CS302,Campaigning,PESURRC015,Charan ,Khanna,charan@gmail.com,2023-08-05',EE,9876543278,5,Club Head,PES1UG21CS302
PES1UG21CS303,Logistics,PESURRC015,Divya,Suresh,divya@gmail.com,2023-03-05',EC,9853681890,3,Member,PES1UG21CS303
PES1UG21CS305,Logistics,PESURRC006,Esha,Ramesh,esha@gmail.com,2023-05-11',ME,9876543201,5,Member,PES1UG21CS305
PES1UG21CS310,Social Media,PESURRC006,Nikita,Kamlesh,nikita@gmail.com,2023-04-05',CS,9067543211,2,Member,PES1UG21CS310
PES1UG21CS311,Marketting,PESURRC027,Niveditha,Sinha,nive@gmail.com,2023-06-05',CS,9876543233,6,Domain Head,PES1UG21CS311
PES1UG21CS320,Marketting,PESURRC027,Rohini,Kamboj,rohini@gmail.com,2022-07-05',EE,5678901234,4,Member ,PES1UG21CS320
PES1UG21CS322,Logistics,PESURRC015,Sai,Sayed,sai@gmail.com,2023-10-05',EC,9087654321,7,Member,PES1UG21CS322
PES1UG21CS325,Technical,PESURRC015,Tanya ,Thakur,tanya@gmail.com,2022-10-05',ARCH,6789034521,8,Member,PES1UG21CS325
PES1UG21CS326,Technical,PESURRC015,Isha,Malhotra,ish@gmail.com,2022-10-05',ARCH,4682883393,3,Club Head,PES1UG21CS326
PES1UG21CS327,Logistics,PESURRC027,Samarth,Malviya,smarth@gmail.com,2022-10-05',EC,4747474743,3,Member,PES1UG21CS327
PES1UG21CS373,Marketting,PESURRC006,Abhishek,Mohan,mohan@gmail.com,2022-10-05',LAW,9387642350,5,Club Head,PES1UG21CS373
PES1UG21CS377,Social Media,PESURRC027,Ankita,Lokhande,rohini3@gmail.com,2022-10-05',LAW,6788992736,5,Domain Head,PES1UG21CS377
PES1UG21CS391,Social Media,PESURRC027,Vicky,Singh,nikki@gmail.com,2022-10-05',ME,9345782633,7,Club Head,PES1UG21CS391
PES1UG21CS392,Logistics,PESURRC002,Rohan,Singh,rohan@gmail.com,2022-10-05',ME,9345782733,5,Club Head,PES1UG21CS392
PES1UG21CS393,Logistics,PESURRC003,Sohan,Shiva,sohan@gmail.com,2022-10-05',LAW,6789284329,5,Club Head,PES1UG21CS393
PES1UG21CS394,Marketting,PESURRC004,Monica,Nair,monica@gmail.com,2022-10-05',ARCH,9345782644,5,Club Head,PES1UG21CS394
PES1UG21CS395,Social Media,PESURRC005,Debeena,Nair,debeena@gmail.com,2022-10-05',ARCH,9345782655,5,Club Head,PES1UG21CS395
PES1UG21CS396,Marketting,PESURRC007,Rajeev,Nair,rajeev@gmail.com,2022-10-05',LAW,9345782666,5,Club Head,PES1UG21CS396
PES1UG21CS397,Social Media,PESURRC008,Sanjay,Warrier,sanjay@gmail.com,2022-10-05',LAW,9345782677,5,Club Head,PES1UG21CS397
PES1UG21CS398,Campaigning,PESURRC009,Sandeep,Warrier,sandeep@gmail.com,2022-10-05',CSE,9345782688,7,Club Head,PES1UG21CS398
PES1UG21CS399,Social Media,PESURRC010,Neha,Gowda,neha@gmail.com,2022-10-05',CSE,9345782699,7,Club Head,PES1UG21CS399
PES1UG21CS400,Logistics,PESURRC011,Piyush,Gowda,piyush@gmail.com,2022-10-05',ME,9345782611,7,Club Head,PES1UG21CS400
PES1UG21CS401,Campaigning,PESURRC012,Pranav,Gowda,pranav@gmail.com,2022-10-05',ME,9345782622,7,Club Head,PES1UG21CS401
PES1UG21CS402,Logistics,PESURRC013,Deepika,Gowda,deepika@gmail.com,2022-10-05',EE,9345232633,7,Club Head,PES1UG21CS402
PES1UG21CS403,Logistics,PESURRC014,Shaheen,Nair,shaheen@gmail.com,2022-10-05',EE,9345242633,3,Club Head,PES1UG21CS403
PES1UG21CS404,Logistics,PESURRC016,Nila,Nair,nila@gmail.com,2022-10-05',LAW,9345782633,3,Club Head,PES1UG21CS404
PES1UG21CS405,Marketting,PESURRC017,Naina,Singh,naina@gmail.com,2022-10-05',LAW,8345782633,3,Club Head,PES1UG21CS405
PES1UG21CS406,Marketting,PESURRC018,Niroop,Singh,nirrrop@gmail.com,2022-10-05',LAW,8845782633,3,Club Head,PES1UG21CS406
PES1UG21CS407,Marketting,PESURRC019,Nayana,Malhotra,nayana@gmail.com,2022-10-05',ARCH,9375782633,3,Club Head,PES1UG21CS407
